Name,Recom_CPU_Max_Temp,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth,Min_OS_Coded,Recom_OS_Coded,Min_HDD_Coded,Recom_HDD_Coded,Min_DirectX_coded
Inscryption,33.5,38.5,4.0,3.7,27.0,1024.0,1012.5,11.0,23.5,33.0,113.2,764,1064,2.0,3.0,0
Pagan Peak VR,50.0,14.0,4.0,3.4000000000000004,14.0,5120.0,1876.0,12.05,62.5,165.0,208.1,1064,1064,16.0,16.0,12
Homefront: The Revolution,36.5,27.0,4.0,3.4,32.0,1536.0,1313.5,11.5,22.0,57.5,116.15,764,764,38.0,38.0,11
Soccer Manager 2016,66.5,180.0,1.0,2.1,77.5,192.0,562.5,9.0,2.5,2.5,29.2,132,732,3.0,3.0,9
Year Walk,35.0,180.0,1.0,2.8,97.5,320.0,550.0,9.5,1.0,2.5,6.8,132,764,1.1,1.1,9
Dragon Knights,37.0,110.0,1.0,2.9,45.0,384.0,750.0,9.55,0.0,0.0,24.0,132,764,3.0,5.0,9
The Next Door,32.5,65.0,2.0,3.2,33.5,2048.0,1200.0,11.15,12.5,29.5,76.8,132,764,1.0,1.0,9
RuneScape 3,70.0,38.5,3.0,2.85,38.5,1280.0,716.5,11.0,3.0,4.0,18.65,264,1064,8.0,8.0,10
Trine 2,30.0,55.0,2.0,2.65,65.0,256.0,675.0,9.55,1.5,1.5,14.0,132,132,1.5,1.5,9
Dark Quest 2,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,732,1064,2.0,2.0,9
Spirit of the North,36.5,27.0,6.0,3.35,27.0,2560.0,1501.5,11.6,34.0,89.5,176.1,1064,1064,4.0,4.0,11
Fallout 3: Broken Steel,66.5,130.0,1.0,1.85,65.0,256.0,790.0,9.0,3.0,3.0,50.55,132,132,2.0,2.0,9
Life After Us: Fading Light,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Court of Ashes,30.5,180.0,1.0,2.8,55.0,256.0,600.0,10.0,2.0,3.0,8.0,764,1064,2.0,2.0,10
Sokobond,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Medieval Kingdom Wars,72.0,55.0,2.0,2.6,55.0,1024.0,900.0,11.0,4.0,13.5,28.8,232,764,5.0,7.0,9
Age of Civilizations 2,69.5,33.5,2.5,2.9,38.5,2048.0,1012.5,12.0,11.5,24.5,50.4,764,764,1.0,1.0,11
